,Region,GINI index,happy planet index,human development index,sustainable economic development assessment (SEDA),"GDP growth
(annual %)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),Economic Growth,"health expenditure 
% of GDP",infant mortality,"maternal mortality per 100,000 live births","education expenditure
% of GDP",Education as % of GDP,% of primary school aged kids out of school,unemployment (%),% of population in extreme poverty,% of population with access to electricity,political rights score,civil liberties score,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,overall economic freedom score,financial freedom score,government expenditure (% of GDP),CO2e emissions per capita,share of electricity from renewables generation,% of seats held by women in national parliaments,Military Spending as % of GDP
31,Sub-Saharan Africa,43.3,12.8,0.404,20.4,1.8,24.3978678770283,1613.97959779722,2.37403780037786,2.59999990463257,11.5507295538528,1140.0,,2.25947999954224,25.7212600708008,5.8,8.4,11.080117225647,4,14,-1.34,-1.46,-1.21,-1.3,-1.43,24.1,23.1,49.3,40.0,17.7,0.1410934124928,0.0,12.8,0.027941380433052283
32,Americas,50.5,31.7,0.843,62.6,2.1,468.88256867953197,25526.7055235622,3.99002947784489,4.73094987869263,5.5,13.0,4.722819805,5.43316984176636,1.28386998176575,6.6,0.4,100.0,37,57,0.38,0.85,1.34,1.01,1.04,63.4,61.2,75.2,70.0,25.0,4.82111829925293,0.447,15.8,0.01963359059563431
33,East Asia & Pacific,46.5,25.7,0.752,50.8,6.9,21229.3636934321,15495.5484221015,6.74977383247717,3.72663998603821,57.9,29.0,,3.54249000549316,0.0,4.6,0.1,100.0,0,14,-0.25,0.42,-0.15,-0.26,-0.27,65.4,47.3,57.8,20.0,30.7,7.60593696057347,0.25,24.2,0.01736340510236392
34,Americas,51.1,40.7,0.843,49.1,3.1,710.8908444178111,15044.0553365323,2.56432428277704,4.62945985794067,47.2,83.0,4.665160179,4.44910001754761,2.28297996520996,9.9,5.6,100.0,29,36,-0.79,-0.07,0.34,-0.36,-0.37,36.4,33.4,68.9,70.0,29.2,1.60987083062336,0.694,18.7,0.03401893975563675
35,Sub-Saharan Africa,55.9,23.1,0.752,,1.0,2.55782089296136,3146.53164606745,3.64245114733686,2.74472999572754,12.2,273.0,4.864930153,0.0,18.1545104980469,20.0,0.0,86.7371368408203,24,31,0.03,-1.57,-1.04,-1.05,-0.68,28.2,27.5,56.2,30.0,27.2,0.376076363303223,0.037,6.1,0.0
36,Sub-Saharan Africa,42.1,,0.457,24.8,7.7,91.2890104405752,1111.83580619542,5.82112109989339,1.95142996311188,33.0,473.0,,0.0,0.0,3.6,0.0,19.1000003814697,2,19,-2.3,-1.63,-1.47,-1.69,-1.42,23.9,27.3,52.1,20.0,13.2,0.0369855862465028,0.546,8.9,0.005616857800000262
37,Sub-Saharan Africa,48.9,18.8,0.606,32.7,2.5,20.602102447462798,4022.27857208279,-4.80535155756866,3.1837100982666,11.4,378.0,,2.99548006057739,15.6294898986816,11.2,0.0,49.5171012878418,4,13,-0.53,-1.19,-1.33,-1.1,-1.33,28.2,24.6,38.9,30.0,47.1,1.34931601739946,0.998,11.3,0.02912711962575244
38,Americas,48.5,44.7,0.794,58.9,3.7,103.351564495896,21319.0439930804,2.6159044043379,6.67952013015747,14.0499521768394,27.0,6.858910084,6.76991987228394,0.119230002164841,9.0,0.9,99.9000015258789,38,53,0.51,0.25,0.45,0.45,0.47,57.8,51.8,65.6,50.0,19.3,1.63247155826708,0.991,35.1,0.0
39,0,41.5,14.4,0.794,30.5,8.6,126.185418257144,5153.72918353003,6.89028431967284,3.31416988372803,48.3,617.0,4.577429771,3.23993992805481,6.18146991729736,9.3,2.4,69.6791229248047,19,32,-1.09,-0.74,-0.36,-0.63,-0.52,44.2,36.6,62.0,50.0,22.6,0.421129515397207,0.0,10.6,0.012514813287380371
40,Europe & Central Asia,30.8,30.2,0.831,64.5,1.6,115.24581287195,28877.2382842567,2.90000959900429,0.0,46.7,8.0,,3.90755009651184,1.61779999732971,13.5,0.2,100.0,37,49,0.75,0.58,0.42,0.33,0.19,56.5,40.5,61.0,60.0,47.4,4.06370783264011,0.685,18.5,0.027355685868764384
41,Americas,,,0.777,,4.3,0.0,0.0,2.24848039303581,0.0,0.0,36.0,,0.0,2.15558004379272,2.9,0.0,100.0,1,13,0.69,-0.2,-1.33,-0.43,0.27,10.0,38.1,31.9,10.0,62.4,2.28614606482985,0.042,48.9,
42,Europe & Central Asia,34.8,30.7,0.869,65.9,1.6,34.782707772984004,40559.125,5.69284172448825,6.44049978256226,2.3,6.0,,0.0,0.575219988822937,11.7,0.2,100.0,38,56,0.6,0.92,1.03,0.88,0.78,56.7,41.3,67.8,60.0,39.6,5.99879528274471,0.092,17.9,0.01986812218376513
43,Europe & Central Asia,,27.3,0.888,71.1,4.2,424.484831837396,41135.4929835656,3.19865610131447,3.96522998809814,3.1,3.0,,4.26692008972168,0.410930007696152,4.0,0.0,100.0,37,56,1.02,1.02,1.23,1.12,0.57,57.9,51.1,74.2,80.0,41.4,9.02278615795801,0.121,20.0,0.014340913619414959
44,Europe & Central Asia,29.0,32.7,0.929,82.0,1.2,325.479371132153,57482.9623999067,1.98953731496432,7.634850025177,27.9,4.0,,6.79277992248535,0.603749990463257,6.1,0.2,100.0,40,57,0.87,1.8,1.62,1.86,2.19,83.6,84.1,76.6,80.0,54.6,5.10798850907958,0.694,37.4,0.013715914691874397
45,Middle East & North Africa,40.9,16.4,0.476,,6.5,4.851881587780389,5180.59694827309,4.7744168883374,0.0,31.7,248.0,,3.62773990631104,37.8930397033691,6.6,0.0,61.7670822143555,7,19,-0.71,-1.03,-0.64,-0.91,-0.64,13.8,29.0,45.1,50.0,49.3,0.431407700717039,0.0,10.8,0.0
46,Americas,47.1,30.3,0.736,48.1,7.0,188.22585477119299,18134.9322584092,6.98252758458058,3.96376991271973,19.5,95.0,,3.92848992347717,5.67314004898071,14.4,0.4,100.0,26,41,0.16,-0.35,-0.08,-0.42,-0.74,23.1,26.2,61.6,40.0,17.7,2.53562795178678,0.122,26.8,0.0065056272603802
47,Americas,45.9,37.0,0.752,48.1,0.0,197.525050990573,11837.959268778,1.28929193290502,5.26099014282227,16.6,59.0,,4.6214599609375,1.31207001209259,5.4,2.1,98.8499984741211,25,35,-0.1,-0.32,-1.0,-0.7,-0.6,23.3,30.2,48.5,40.0,39.8,2.26146981694915,0.541,38.0,0.024557120229967852
48,Middle East & North Africa,31.8,23.8,0.696,43.1,4.2,1118.7156834846999,11637.8785143941,5.31412103746398,4.25138998031616,3.05844048629935,37.0,,0.0,0.651929974555969,12.0,0.0,100.0,10,16,-1.42,-0.62,-0.86,-0.53,-0.54,52.5,32.2,53.4,50.0,34.1,2.48405991083232,0.087,14.9,0.013008191087835045
49,Americas,36.0,35.6,0.674,47.2,2.4,55.31910343341001,8821.51945731413,2.43228758708827,3.82416009902954,1.6,46.0,3.448559999,3.60575008392334,0.0,6.3,0.3,100.0,34,36,-0.25,-0.37,-0.15,-0.86,-0.51,35.4,25.2,63.2,60.0,21.3,1.20863713626374,0.584,32.1,0.013749020324974038
50,Sub-Saharan Africa,,,0.591,,-12.2,26.684599028365003,20873.0379596654,-6.23655098228059,0.0,3.6,301.0,,0.0,0.0,7.3,0.0,66.7477264404297,1,6,-0.15,-1.44,-1.4,-1.49,-1.83,17.6,26.2,42.0,30.0,36.1,3.94548003191235,0.459,24.0,0.013051715490862007
51,Sub-Saharan Africa,,,0.44,,4.8,0.0,0.0,0.0,0.0,2.7,480.0,,0.0,47.3481788635254,7.3,0.0,52.1710968017578,1,2,-0.66,-1.73,-2.2,-1.56,-1.2,13.8,23.4,41.7,20.0,28.5,0.251635846107416,0.01,22.0,
52,Europe & Central Asia,34.8,17.9,0.871,70.8,1.1,46.398357575857496,36249.3581462876,4.13381979831833,4.39433002471924,35.4,9.0,,5.2632098197937,2.15716004371643,6.9,0.3,100.0,38,56,0.66,1.12,1.64,1.28,1.24,83.9,75.7,78.8,80.0,39.8,7.67227790917304,0.165,26.7,0.021555150462494215
53,Sub-Saharan Africa,50.4,15.5,0.588,,1.7,9.68279316031675,8725.11044313722,2.38296442304164,7.07059001922607,0.0,437.0,,5.67916011810303,16.3491401672363,25.3,0.0,79.7304992675781,1,15,-0.3,-0.58,-0.56,-0.29,-0.3,35.3,26.9,55.9,40.0,34.1,0.836140045223269,0.536,6.2,0.016980236265651448
54,Sub-Saharan Africa,33.0,26.7,0.463,32.3,10.2,229.755278555775,2153.76908135974,6.81614779681703,4.60201978683472,3.2244856014062,401.0,,5.06867980957031,0.0,5.7,0.0,51.0939826965332,4,8,-1.69,-0.7,-1.01,-0.45,-0.56,37.6,37.7,52.8,20.0,17.7,0.16381342920099,1.0,38.8,0.005278282267263974
55,East Asia & Pacific,,,0.741,49.0,4.3,12.2329091684617,14176.9060216069,3.81235122208518,4.26821994781494,3.4,34.0,,4.83571004867554,0.0,7.9,0.2,100.0,24,35,0.79,0.09,-0.22,-0.25,0.36,47.1,34.8,62.0,50.0,32.6,1.83155327542587,0.462,16.0,0.01650627462291854
56,Europe & Central Asia,27.2,31.3,0.92,81.3,0.4,265.018680600984,49580.6051952837,1.14194750876192,7.10236978530884,23.0,3.0,7.15155983,6.27542018890381,1.32710003852844,9.0,0.0,100.0,40,60,1.07,1.94,1.82,2.03,2.22,82.7,89.8,74.1,80.0,57.1,7.37285476082008,0.463,42.0,0.020302808319482182
57,Europe & Central Asia,29.3,30.4,0.901,73.9,1.1,3038.64398560027,46576.6018489382,1.86506607081999,0.0,0.0,8.0,5.51760006,5.40716981887817,0.0147200003266335,10.0,0.0,100.0,38,52,0.21,1.35,1.16,1.44,1.26,72.7,65.1,63.9,70.0,57.0,4.46877008881409,0.168,39.0,0.01945382262028196
58,Sub-Saharan Africa,42.2,17.5,0.702,40.9,4.0,31.2459510938624,15095.9268000247,0.83791658082157,2.66667008399963,3.6,252.0,,2.93345880508423,0.0,18.5,0.0,91.5715637207031,4,19,-0.09,-0.94,-0.79,-0.68,-0.81,27.8,33.4,58.0,40.0,22.6,2.41648401116093,0.45,17.1,0.017100361030469982
59,0,50.2,,0.46,,4.4,4.9206153757547195,2209.63426611081,7.23489033258579,2.23094010353088,51.4,597.0,,2.36543989181519,18.1914806365967,29.7,0.0,62.2730674743652,20,21,,,,,,38.8,36.8,52.3,50.0,29.4,0.247050718368434,0.0,10.3,0.007486513830746826
60,Europe & Central Asia,40.1,31.1,0.78,55.4,2.8,53.1160270027883,14593.9244791426,4.84291988506627,2.99767994880676,33.0,25.0,,3.5210599899292,0.786210000514984,11.6,1.5,100.0,26,38,-0.37,0.57,1.05,0.33,0.74,64.2,61.8,76.2,60.0,29.8,2.71762422558518,0.789,16.0,0.016732216747983825
61,Europe & Central Asia,27.0,29.8,0.936,79.6,1.5,4434.3683442232405,55235.366304833,1.08602451412267,4.92102003097534,47.2,7.0,4.931129932,4.97576999664307,0.688939988613129,4.3,0.0,100.0,39,55,0.58,1.72,1.78,1.61,1.84,78.0,75.3,74.2,70.0,44.2,7.91162101567715,0.318,37.0,0.013373843362162989
62,Sub-Saharan Africa,42.3,21.4,0.592,40.2,3.5,158.21973702954998,5442.23589950668,6.20007768127284,4.39978981018066,0.0,308.0,6.159830093,3.8861300945282,3.62357997894287,5.8,0.0,85.8735504150391,37,46,0.09,-0.11,-0.14,0.13,-0.23,43.7,32.9,56.0,60.0,26.5,0.658823540945168,0.522,12.7,0.004921005949156867
63,Europe & Central Asia,36.7,23.6,0.87,64.1,-0.2,312.76878599350204,29617.5483399732,1.66842863602514,0.0,14.5,3.0,,3.59734010696411,1.42841994762421,23.9,0.4,100.0,35,50,-0.13,0.31,0.24,0.08,-0.14,59.0,37.9,57.3,40.0,51.3,5.59618906985928,0.297,18.3,0.03867369630113326
64,Americas,53.0,34.2,0.65,42.5,4.0,138.330704321969,8664.3343202623,3.32209799734959,2.98562002182007,0.0,95.0,2.941390038,3.13704991340637,10.6287202835083,2.4,0.0,97.0552673339844,23,33,-0.57,-0.64,-0.26,-1.06,-0.74,33.1,27.3,63.4,50.0,12.5,1.16297092439764,0.617,12.7,0.00444567515086392
65,Sub-Saharan Africa,39.4,,0.459,28.3,0.1,31.032095919690498,2559.42554529443,6.35849192736715,2.42281007766724,34.7,576.0,2.419260025,2.38432002067566,0.0,6.8,3.1,44.6686782836914,17,24,-0.61,-1.04,-0.84,-1.23,-1.01,28.2,26.9,52.2,40.0,25.4,0.30928854143783,0.5,21.9,0.014845411173646786
66,Sub-Saharan Africa,,,0.455,,4.8,3.56479826534134,1947.36909498914,1.28373670309465,2.20000004768372,58.3,667.0,,2.13787007331848,0.0,6.5,4.7,33.3354682922363,16,25,-0.6,-1.77,-1.18,-1.44,-1.56,53.5,27.3,56.9,30.0,21.9,0.171792957797251,0.0,13.7,0.01782638658684506
67,Americas,44.6,,0.654,42.8,3.0,9.72012265960009,12775.6713980142,4.44101358934772,4.36033010482788,4.1,169.0,,4.45058012008667,0.0,11.4,0.0,92.5405426025391,32,42,-0.04,-0.29,-0.39,-0.29,-0.51,42.5,34.8,58.7,30.0,31.2,3.64089285507658,0.0,31.9,0.009565162350268974
68,Americas,60.8,28.6,0.498,24.2,1.0,35.208265608277,3240.9243746958,1.66781095484656,1.75314998626709,3.4,480.0,,1.63206994533539,0.0,13.2,0.0,46.9255332946777,17,24,-0.7,-2.06,-1.32,-1.09,-1.24,42.5,24.6,55.8,30.0,21.9,0.294768413969466,0.084,2.5,0.0018854070211282803
69,Americas,47.1,27.2,0.617,41.9,3.6,54.4606097983686,5816.06737202683,3.84499476966735,7.0901198387146,45.6311357179348,65.0,,6.05646991729736,15.6980695724487,6.3,4.3,93.2067108154297,20,26,-0.55,-0.51,-0.44,-1.05,-0.72,34.5,28.2,60.6,60.0,27.9,1.04862299152317,0.436,25.8,0.01605880701536758
70,Europe & Central Asia,28.2,26.4,0.838,66.1,2.9,304.231829371843,62513.955266957,5.35949648949985,4.6003999710083,17.251109252423,12.0,4.631949902,4.62282991409302,2.43139004707336,5.2,0.1,100.0,28,44,0.81,0.51,0.65,0.53,0.09,57.1,36.4,66.7,70.0,48.5,4.74663102989868,0.116,10.1,0.016360658720034563
71,Europe & Central Asia,28.0,31.1,0.935,83.7,4.0,20.040970853944998,31913.0746552476,4.89218073132504,7.6414098739624,2.9,4.0,,7.56170988082886,4.44464015960693,3.8,0.0,100.0,37,58,1.37,1.45,1.43,1.61,1.84,72.6,77.3,77.0,70.0,43.1,4.54844225751086,1.0,47.6,
72,South Asia,35.2,29.2,0.64,40.0,7.3,8811.11528573186,6669.62278430014,6.45385134497769,0.0,0.0,145.0,,4.36373996734619,0.0,3.5,1.8,99.0,35,42,-0.83,0.09,-0.25,0.0,-0.24,54.3,47.2,54.5,40.0,27.3,1.79762011876852,0.151,11.8,0.026577900305658597
73,East Asia & Pacific,36.8,35.7,0.694,46.4,4.8,3043.87602267453,11643.3973183439,5.17429153955024,3.28800988197327,42.6395771840764,177.0,3.288009882,3.0,5.62332010269165,5.6,0.5,96.9499969482422,30,34,-0.51,0.04,-0.11,-0.35,-0.25,45.2,42.8,64.2,60.0,17.6,2.2903971480842,0.112,19.8,0.006959259394976769
74,Middle East & North Africa,44.5,24.0,0.798,48.0,0.0,1252.49472057144,15677.4298005466,-2.25386360686099,2.80135011672974,21.3,16.0,2.801350117,3.9553599357605,0.0,11.3,0.2,100.0,7,11,-0.93,-0.19,-1.2,-0.68,-0.81,35.3,32.6,50.9,10.0,17.2,7.59836484538996,0.054,5.9,0.022991602406770395
75,Middle East & North Africa,,26.5,0.685,37.0,2.4,405.706056270421,10808.2088306983,2.63385099105624,0.0,1.5,79.0,,0.0,0.0,16.0,0.0,100.0,16,15,-2.33,-1.27,-1.2,-1.64,-1.37,11.4,23.4,,,42.7,4.44062412949085,0.039,25.3,0.022829567106897035
76,Europe & Central Asia,31.3,30.0,0.938,80.3,7.8,407.52266606134197,84555.6348017403,9.03016110018034,4.87849998474121,11.1,5.0,,3.39286994934082,0.00173999997787178,8.1,0.0,100.0,39,57,1.02,1.29,1.59,1.43,1.55,79.0,79.0,80.4,70.0,31.9,7.24514322077522,0.297,22.2,0.0026479124832476044
77,Middle East & North Africa,42.8,28.8,0.903,66.5,2.6,354.454108942855,39906.1246843388,3.98342459356549,5.76681995391846,2.5,3.0,5.739089966,6.11233997344971,0.312099993228912,5.6,0.2,100.0,36,43,-0.88,1.39,1.27,1.02,0.83,83.1,61.2,72.2,70.0,40.1,6.91959371834315,0.02,27.5,0.05171624262665083
78,Europe & Central Asia,31.9,28.1,0.88,69.1,0.8,2540.4885760053903,43036.2437770367,0.925810941012742,4.06127977371216,11.4,2.0,4.075250149,4.25614023208618,3.14660000801086,11.5,1.0,100.0,36,53,0.24,0.5,0.7,0.32,0.19,60.9,40.1,62.5,50.0,50.3,5.31131544170879,0.409,31.0,0.015227301369349178
79,Americas,35.0,36.9,0.732,49.7,1.1,28.5703897899526,9967.42920828158,1.88992368121086,6.01586008071899,12.9,80.0,6.020720005,5.41380977630615,26.4554195404053,13.3,0.0,100.0,34,43,0.25,0.49,0.14,-0.16,-0.17,56.6,39.4,69.1,50.0,27.6,2.84573001224876,0.108,17.5,0.014127203227583639
80,East Asia & Pacific,37.9,28.3,0.909,75.2,0.5,5292.99011234387,42116.4743457281,0.584068067242868,3.55158996582031,8.9,5.0,3.59059,3.07782006263733,0.0,3.1,0.0,100.0,40,56,1.12,1.62,1.37,1.57,1.52,73.2,79.2,72.3,60.0,39.1,8.54098020491546,0.174,9.3,0.010735151954769553
81,Middle East & North Africa,39.7,,0.735,48.7,2.5,99.7867320292186,10252.6188242774,1.93409170141707,3.79999995231628,1.8,46.0,,2.98481011390686,19.023250579834,13.2,0.0,99.9000015258789,12,25,-0.53,0.12,0.1,0.26,0.26,57.3,51.9,64.9,60.0,32.0,2.43820411172168,0.01,15.4,0.050189552832919176
82,Europe & Central Asia,26.3,19.1,0.8,57.7,1.2,466.859990810033,26154.6019350822,4.09999999987123,3.42164993286133,31.2,10.0,,2.61595010757446,0.990610003471375,5.2,0.0,100.0,5,17,0.02,0.01,0.17,-0.41,-0.82,58.1,44.6,69.1,50.0,22.2,11.4569378323984,0.093,27.1,0.00866368644727073
83,Sub-Saharan Africa,48.5,24.2,0.59,35.4,5.6,223.032171628642,4443.45232207281,5.64794640709219,4.7172999382019,15.7,342.0,5.280149937,5.10761976242065,0.0,11.0,0.0,71.4379425048828,19,29,-1.08,-0.31,-0.23,-0.41,-0.96,44.0,27.5,54.7,50.0,27.4,0.423783898343557,0.882,21.8,0.011191091234484921
84,East Asia & Pacific,,,,,1.0,0.0,2197.69948408805,0.0,11.2323703765869,2.7,89.0,,0.0,0.0,4.3,0.0,52.3135452270508,0,3,-0.48,-1.69,-2.34,-1.71,-1.48,5.0,25.2,5.8,0.0,,2.18341993045969,0.021,16.3,
85,East Asia & Pacific,35.7,24.8,0.903,,2.6,2164.81289727432,0.0,2.90740377377135,0.0,7.6,11.0,5.05671978,4.45807981491089,0.92399001121521,3.7,0.0,100.0,33,51,0.29,1.08,1.11,1.16,0.48,63.7,49.9,73.8,70.0,32.3,11.7993253802233,0.738,17.0,0.027770196327106297
86,Europe & Central Asia,23.2,,,,3.3,19.3279502574467,43044.2917633371,3.40663100837845,0.0,45.7,0.0,,0.0,0.0,,0.0,0.0,24,28,-0.21,-0.41,-0.13,-0.42,-0.5,59.0,45.4,66.6,30.0,27.1,0.0,0.0,,0.009398589339623559
87,Middle East & North Africa,,,0.803,65.7,0.9,211.29601229151,52290.9058973213,2.43398126829415,4.40000009536743,13.6717021875404,12.0,,6.38917016983032,0.0,2.4,0.0,100.0,13,23,-0.04,-0.17,-0.06,0.1,-0.33,53.5,36.6,62.2,60.0,51.5,22.0224164011923,0.0,3.1,0.0669062243044488
88,0,33.4,33.1,0.672,45.4,3.5,32.455892924557304,5255.78347282087,3.75791012480484,5.53159999847412,22.0,60.0,5.531599998,5.55267000198364,0.287640005350113,7.7,0.2,99.9810485839844,12,25,-0.43,-0.71,-0.35,-0.93,-1.05,22.1,29.4,62.8,50.0,37.3,1.55664325620875,0.858,19.2,0.016692137831221608
89,East Asia & Pacific,36.7,,0.601,37.8,7.0,53.616750150258696,7774.2229979859,6.24796000755872,2.93780994415283,6.0,185.0,2.937809944,2.36999988555908,8.51140022277832,1.5,1.2,100.0,1,11,0.43,-0.36,-0.72,-0.88,-0.94,41.4,33.1,53.6,20.0,26.3,2.60968183422462,0.965,27.5,
90,Europe & Central Asia,34.5,17.1,0.847,66.1,2.7,57.9129595102358,30877.0419264807,3.9894803874928,5.28122997283936,0.0,19.0,5.268799782,4.24356985092163,1.1314400434494,9.9,0.2,100.0,35,52,0.46,0.9,1.15,0.93,0.54,58.9,45.4,73.6,60.0,37.0,3.95543586167438,0.515,16.0,0.0228041898110783
91,Middle East & North Africa,,21.9,0.757,44.8,1.0,106.743582305644,15933.400974913,-1.88470547404803,2.0,58.1,29.0,,2.52447009086609,0.0,6.8,0.0,100.0,11,32,-1.59,-0.51,-0.31,-0.82,-1.0,33.6,20.2,53.2,50.0,26.9,4.07689427350833,0.028,3.1,
92,Sub-Saharan Africa,63.2,16.7,0.52,29.5,2.5,5.512555847493459,2677.12333389169,-1.22313731083291,7.19859981536865,7.66516992182274,544.0,,7.28535985946655,6.818039894104,27.4,0.0,47.3527374267578,27,37,-0.25,-0.85,-0.32,-0.27,-0.03,52.7,32.9,53.9,40.0,50.4,0.362307409340339,1.0,22.9,0.012871874948068433
